epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,8922.51,2.28722,2.12065,3.06722,0.78094,0.54583,0.62109,0.38388,3.26836,3.02313,3.83562,0.000189475,0.000189475,0.000189475
146,8983.83,2.25792,2.0565,3.03494,0.75189,0.55596,0.62046,0.38492,3.28558,2.98558,3.84997,0.000183523,0.000183523,0.000183523
147,9045.22,2.26529,2.06165,3.03581,0.73691,0.56525,0.62392,0.38346,3.27584,2.97244,3.85313,0.000177651,0.000177651,0.000177651
148,9106.44,2.2513,2.10219,3.02776,0.75276,0.57514,0.62716,0.38379,3.28503,2.98121,3.85257,0.000171859,0.000171859,0.000171859
149,9168.01,2.23603,2.03801,3.02468,0.77686,0.56709,0.63004,0.38717,3.27525,2.9715,3.85356,0.000166149,0.000166149,0.000166149
150,9229.47,2.2504,2.09407,3.04202,0.80263,0.54472,0.63001,0.38756,3.27562,2.97762,3.84566,0.000160523,0.000160523,0.000160523
151,9290.91,2.22647,2.05181,3.01753,0.77167,0.55702,0.63062,0.38789,3.2758,2.97458,3.84251,0.000154982,0.000154982,0.000154982
152,9352.23,2.24133,2.04165,3.02812,0.78431,0.5596,0.63369,0.39088,3.28657,2.97783,3.85602,0.000149527,0.000149527,0.000149527
153,9413.63,2.2401,2.09398,3.01335,0.7939,0.55128,0.63108,0.38966,3.28905,2.98369,3.85163,0.000144161,0.000144161,0.000144161
154,9474.93,2.23572,2.07723,3.02351,0.79424,0.54739,0.62785,0.38916,3.27501,2.99725,3.8391,0.000138883,0.000138883,0.000138883
155,9536.1,2.25686,2.11572,3.0513,0.75952,0.56343,0.62981,0.38954,3.27139,2.99804,3.84619,0.000133695,0.000133695,0.000133695
156,9597.51,2.20564,2.02206,2.98204,0.75196,0.55892,0.62823,0.38861,3.27507,3.01098,3.84346,0.000128599,0.000128599,0.000128599
157,9658.69,2.1899,2.00823,2.97715,0.79596,0.54249,0.62834,0.38952,3.27261,3.00888,3.84641,0.000123596,0.000123596,0.000123596
158,9719.87,2.22695,2.0693,3.01098,0.78051,0.54567,0.62992,0.39011,3.26385,3.00486,3.83999,0.000118687,0.000118687,0.000118687
159,9781.3,2.16829,1.97522,2.95895,0.73077,0.57213,0.62933,0.39106,3.26648,3.01917,3.84384,0.000113873,0.000113873,0.000113873
160,9842.55,2.1794,1.99731,2.97831,0.73615,0.56839,0.63042,0.38975,3.27739,3.02402,3.85636,0.000109156,0.000109156,0.000109156
161,9903.83,2.22064,2.05549,2.99778,0.75931,0.56253,0.62809,0.38722,3.27628,3.02995,3.85327,0.000104537,0.000104537,0.000104537
162,9965.1,2.18164,1.98431,2.97761,0.79469,0.55037,0.62931,0.38757,3.27657,3.04194,3.85369,0.000100016,0.000100016,0.000100016
163,10026.5,2.17062,1.9774,2.96259,0.81465,0.54573,0.63017,0.38857,3.28191,3.0506,3.86455,9.55951e-05,9.55951e-05,9.55951e-05
164,10087.8,2.21142,2.06892,3.00036,0.8026,0.54885,0.62865,0.38754,3.27752,3.06662,3.85911,9.12754e-05,9.12754e-05,9.12754e-05
165,10149.1,2.18335,2.02308,2.98392,0.80246,0.554,0.62907,0.38928,3.27119,3.05622,3.85347,8.70577e-05,8.70577e-05,8.70577e-05
166,10210.6,2.15929,1.97711,2.94112,0.78939,0.54882,0.62904,0.38912,3.27513,3.05327,3.84676,8.29431e-05,8.29431e-05,8.29431e-05
167,10271.8,2.15375,1.97415,2.96185,0.74338,0.56959,0.62969,0.38881,3.27761,3.04899,3.85016,7.89327e-05,7.89327e-05,7.89327e-05
168,10333.3,2.13539,1.91819,2.92773,0.79755,0.54906,0.62792,0.38897,3.26866,3.06479,3.83604,7.50274e-05,7.50274e-05,7.50274e-05
169,10394.6,2.13636,1.92466,2.92297,0.79525,0.54729,0.62835,0.39085,3.26578,3.06161,3.83749,7.12282e-05,7.12282e-05,7.12282e-05
170,10456,2.15978,1.9709,2.95481,0.78448,0.55708,0.62918,0.39055,3.26953,3.05051,3.83793,6.7536e-05,6.7536e-05,6.7536e-05
171,10517.3,2.14696,1.94203,2.93509,0.77329,0.5637,0.62956,0.39086,3.27795,3.04342,3.84552,6.39518e-05,6.39518e-05,6.39518e-05
172,10578.7,2.15354,1.97516,2.95218,0.80767,0.54982,0.63093,0.39175,3.27689,3.05105,3.84702,6.04763e-05,6.04763e-05,6.04763e-05
173,10640.1,2.1021,1.92235,2.90783,0.78078,0.55751,0.63128,0.3905,3.27938,3.04771,3.85106,5.71106e-05,5.71106e-05,5.71106e-05
174,10701.4,2.10435,1.9105,2.91799,0.80697,0.55006,0.63285,0.39047,3.27886,3.03923,3.85317,5.38554e-05,5.38554e-05,5.38554e-05
175,10762.9,2.13009,1.93319,2.92653,0.79261,0.55842,0.63254,0.38951,3.28214,3.03163,3.8591,5.07115e-05,5.07115e-05,5.07115e-05
176,10824.2,2.16202,1.98829,2.94698,0.79919,0.55568,0.63174,0.38943,3.28447,3.03032,3.86137,4.76796e-05,4.76796e-05,4.76796e-05
177,10885.5,2.09663,1.90484,2.90923,0.78888,0.55734,0.63208,0.389,3.28907,3.03245,3.86785,4.47606e-05,4.47606e-05,4.47606e-05
178,10946.9,2.12076,1.96073,2.91993,0.79087,0.56224,0.63321,0.38915,3.28855,3.04058,3.8721,4.19552e-05,4.19552e-05,4.19552e-05
