epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,80662.8,2.96809,3.94953,3.51748,0.48417,0.36128,0.36864,0.2197,3.482,3.87101,3.96797,3.4227e-05,3.4227e-05,3.4227e-05
137,80726.6,2.94447,3.9208,3.51549,0.46639,0.37045,0.36682,0.21852,3.49289,3.87243,3.97632,3.11268e-05,3.11268e-05,3.11268e-05
138,80790.2,2.93603,3.8621,3.49906,0.46527,0.36297,0.36577,0.21785,3.49201,3.86906,3.97383,2.82345e-05,2.82345e-05,2.82345e-05
139,80853.9,2.92142,3.87681,3.4902,0.45582,0.36833,0.36691,0.21923,3.49729,3.86303,3.97613,2.55513e-05,2.55513e-05,2.55513e-05
140,80917.2,2.89595,3.77623,3.46712,0.45501,0.36898,0.37031,0.22086,3.49244,3.85984,3.97344,2.30784e-05,2.30784e-05,2.30784e-05
141,81011,2.98776,3.69822,3.56967,0.44352,0.37046,0.36921,0.21809,3.53639,3.92606,4.02219,2.08169e-05,2.08169e-05,2.08169e-05
142,81074.6,2.9486,3.51344,3.58009,0.45529,0.37668,0.37404,0.2196,3.5502,3.87877,4.0394,1.87678e-05,1.87678e-05,1.87678e-05
143,81138.3,2.95005,3.46194,3.56068,0.45249,0.39057,0.37796,0.22225,3.53931,3.835,4.03632,1.6932e-05,1.6932e-05,1.6932e-05
144,81201.5,2.91155,3.43271,3.54226,0.45527,0.39191,0.38145,0.22414,3.52805,3.80881,4.02573,1.53102e-05,1.53102e-05,1.53102e-05
145,81264.6,2.93096,3.40981,3.54843,0.46243,0.38965,0.38359,0.22687,3.50816,3.78375,4.01358,1.39032e-05,1.39032e-05,1.39032e-05
146,81327.5,2.92115,3.3621,3.54303,0.46627,0.39013,0.38509,0.22802,3.4953,3.77305,4.00749,1.27117e-05,1.27117e-05,1.27117e-05
147,81390.6,2.92386,3.40974,3.53298,0.47206,0.39079,0.3864,0.22874,3.48447,3.76806,3.99955,1.1736e-05,1.1736e-05,1.1736e-05
148,81453.7,2.91243,3.34337,3.54228,0.49472,0.38292,0.38737,0.22941,3.47692,3.76083,3.99238,1.09768e-05,1.09768e-05,1.09768e-05
149,81517,2.91149,3.35842,3.53355,0.50775,0.37656,0.38793,0.2304,3.47507,3.74989,3.98837,1.04342e-05,1.04342e-05,1.04342e-05
150,81580.2,2.88937,3.32727,3.54304,0.50036,0.38187,0.38776,0.23096,3.47661,3.74614,3.99085,1.01086e-05,1.01086e-05,1.01086e-05
